",Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth"
"15,2020,Overall,National,All,Non-Hispanic White,All,Aged,All,All,21802222.0,22458503.167,9975454.0,0.4575"
"16,2020,Overall,National,All,Non-Hispanic White,Male,All,All,All,10815903.0,11434959.083,4862682.0,0.4496"
"17,2020,Overall,National,Medicare Only,All,All,All,All,All,24738848.0,26131285.25,11334476.0,0.4582"
"18,2020,Overall,National,Medicare Only,All,All,All,All,Rural,5668186.0,6003157.6667,2104297.0,0.3712"
"19,2020,Overall,National,Medicare Only,All,All,All,65-74,All,12594461.0,13482648.333,5500513.0,0.4367"
"20,2020,Overall,National,Medicare Only,All,All,All,75-84,All,7429270.0,7712721.0833,3538651.0,0.4763"
"21,2020,Overall,National,Medicare Only,All,All,All,85 and over,All,3174501.0,3181768.25,1492328.0,0.4701"
"22,2020,Overall,National,Medicare Only,All,All,Aged,All,All,23064005.0,24255720.5,10448624.0,0.453"
"23,2020,Overall,National,Medicare Only,All,Female,All,All,All,13649877.0,14095615.333,6480774.0,0.4748"
"24,2020,Overall,National,Medicare Only,All,Male,All,All,All,11088971.0,12035669.917,4853702.0,0.4377"
"25,2020,Overall,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,463952.0,549692.16667,216066.0,0.4657"
"26,2020,Overall,National,Medicare Only,Black/African American,All,All,All,All,1531388.0,1708054.5,729273.0,0.4762"
"27,2020,Overall,National,Medicare Only,Hispanic,All,All,All,All,896031.0,1096197.4167,426698.0,0.4762"
"28,2020,Overall,National,Medicare Only,Non-Hispanic White,All,All,All,All,21040209.0,21907662.917,9585769.0,0.4556"
"29,2020,1,National,All,All,All,All,All,All,23992421.0,32182236.667,1665085.0,0.0694"
"30,2020,1,National,Medicare & Medicaid,All,All,All,All,All,4977118.0,6292754.6667,493310.0,0.0991"
"31,2020,1,National,Medicare Only,All,All,All,All,All,19015303.0,25889482.0,1171775.0,0.0616"
"32,2020,1,National,All,American Indian/Alaska Native,All,All,All,All,137214.0,180526.0,8680.0,0.0633"
"33,2020,1,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,60082.0,76352.333333,4747.0,0.079"
"34,2020,1,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,77132.0,104173.66667,3933.0,0.051"
"35,2020,1,National,All,Asian/Pacific Islander,All,All,All,All,657700.0,974053.33333,47081.0,0.0716"
"36,2020,1,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,325109.0,437644.0,26804.0,0.0824"
"37,2020,1,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,332591.0,536409.33333,20277.0,0.061"
"38,2020,1,National,All,Black/African American,All,All,All,All,2058419.0,2816351.3333,156205.0,0.0759"
"39,2020,1,National,Medicare & Medicaid,Black/African American,All,All,All,All,891607.0,1123413.0,80355.0,0.0901"
"40,2020,1,National,Medicare Only,Black/African American,All,All,All,All,1166812.0,1692938.3333,75850.0,0.065"
"41,2020,1,National,All,Hispanic,All,All,All,All,1330975.0,1972483.0,108002.0,0.0811"
"42,2020,1,National,Medicare & Medicaid,Hispanic,All,All,All,All,674798.0,897266.33333,64339.0,0.0953"
"43,2020,1,National,Medicare Only,Hispanic,All,All,All,All,656177.0,1075216.6667,43663.0,0.0665"
"44,2020,1,National,All,Non-Hispanic White,All,All,All,All,19168576.0,25325379.667,1297972.0,0.0677"
"45,2020,1,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2902501.0,3589895.6667,303131.0,0.1044"
"46,2020,1,National,Medicare Only,Non-Hispanic White,All,All,All,All,16266075.0,21735484.0,994841.0,0.0612"
"47,2020,1,National,All,All,Female,All,All,All,13608446.0,17603116.667,1001349.0,0.0736"
"48,2020,1,National,Medicare & Medicaid,All,Female,All,All,All,3006252.0,3643538.3333,312712.0,0.104"
"49,2020,1,National,Medicare Only,All,Female,All,All,All,10602194.0,13959578.333,688637.0,0.065"
"50,2020,1,National,All,American Indian/Alaska Native,Female,All,All,All,80874.0,101523.0,5424.0,0.0671"
"51,2020,1,National,All,Asian/Pacific Islander,Female,All,All,All,392145.0,569661.66667,28533.0,0.0728"
"52,2020,1,National,All,Black/African American,Female,All,All,All,1221387.0,1557637.3333,100060.0,0.0819"
"53,2020,1,National,All,Hispanic,Female,All,All,All,771600.0,1063623.6667,67552.0,0.0875"
"54,2020,1,National,All,Non-Hispanic White,Female,All,All,All,10867501.0,13926373.333,777437.0,0.0715"
"55,2020,1,National,All,All,Male,All,All,All,10383975.0,14579120.0,663736.0,0.0639"
"56,2020,1,National,Medicare & Medicaid,All,Male,All,All,All,1970866.0,2649216.3333,180598.0,0.0916"
"57,2020,1,National,Medicare Only,All,Male,All,All,All,8413109.0,11929903.667,483138.0,0.0574"
"58,2020,1,National,All,American Indian/Alaska Native,Male,All,All,All,56340.0,79003.0,3256.0,0.0578"
"59,2020,1,National,All,Asian/Pacific Islander,Male,All,All,All,265555.0,404391.66667,18548.0,0.0698"
"60,2020,1,National,All,Black/African American,Male,All,All,All,837032.0,1258714.0,56145.0,0.0671"
"61,2020,1,National,All,Hispanic,Male,All,All,All,559375.0,908859.33333,40450.0,0.0723"
"62,2020,1,National,All,Non-Hispanic White,Male,All,All,All,8301075.0,11399006.333,520535.0,0.0627"
"63,2020,1,National,All,All,All,Aged,All,All,20624201.0,27673111.333,1280549.0,0.0621"
"64,2020,1,National,Medicare & Medicaid,All,All,Aged,All,All,2887189.0,3644827.3333,235279.0,0.0815"
"65,2020,1,National,Medicare Only,All,All,Aged,All,All,17737012.0,24028284.0,1045270.0,0.0589"
"66,2020,1,National,All,American Indian/Alaska Native,All,Aged,All,All,97333.0,128110.0,4989.0,0.0513"
"67,2020,1,National,All,Asian/Pacific Islander,All,Aged,All,All,588395.0,878539.66667,40020.0,0.068"
"68,2020,1,National,All,Black/African American,All,Aged,All,All,1405022.0,1941245.3333,92323.0,0.0657"
"69,2020,1,National,All,Hispanic,All,Aged,All,All,996870.0,1523037.6667,70238.0,0.0705"
"70,2020,1,National,All,Non-Hispanic White,All,Aged,All,All,16966552.0,22389453.0,1034544.0,0.061"
"71,2020,1,National,All,All,All,Disabled,All,All,2971037.0,4102241.6667,348715.0,0.1174"
"72,2020,1,National,Medicare & Medicaid,All,All,Disabled,All,All,1895825.0,2453751.6667,239988.0,0.1266"
"73,2020,1,National,Medicare Only,All,All,Disabled,All,All,1075212.0,1648490.0,108727.0,0.1011"
"74,2020,1,National,All,American Indian/Alaska Native,All,Disabled,All,All,33464.0,45995.0,3190.0,0.0953"
"75,2020,1,National,All,Asian/Pacific Islander,All,Disabled,All,All,49673.0,75075.666667,5303.0,0.1068"
"76,2020,1,National,All,Black/African American,All,Disabled,All,All,519826.0,738317.0,53111.0,0.1022"
"77,2020,1,National,All,Hispanic,All,Disabled,All,All,268285.0,381914.66667,32042.0,0.1194"
"78,2020,1,National,All,Non-Hispanic White,All,Disabled,All,All,2040684.0,2771185.0,247329.0,0.1212"
"79,2020,1,National,All,All,All,ESRD,All,All,397183.0,406883.66667,35821.0,0.0902"
"80,2020,1,National,Medicare & Medicaid,All,All,ESRD,All,All,194104.0,194175.66667,18043.0,0.093"
"81,2020,1,National,Medicare Only,All,All,ESRD,All,All,203079.0,212708.0,17778.0,0.0875"
"82,2020,1,National,All,American Indian/Alaska Native,All,ESRD,All,All,6417.0,6421.0,501.0,0.0781"
"83,2020,1,National,All,Asian/Pacific Islander,All,ESRD,All,All,19632.0,20438.0,1758.0,0.0895"
"84,2020,1,National,All,Black/African American,All,ESRD,All,All,133571.0,136789.0,10771.0,0.0806"
"85,2020,1,National,All,Hispanic,All,ESRD,All,All,65820.0,67530.666667,5722.0,0.0869"
"86,2020,1,National,All,Non-Hispanic White,All,ESRD,All,All,161340.0,164741.66667,16099.0,0.0998"
"87,2020,1,National,All,All,All,All,0-64,All,3163071.0,4301852.6667,365839.0,0.1157"
"88,2020,1,National,Medicare & Medicaid,All,All,All,0-64,All,2012704.0,2571352.3333,251094.0,0.1248"
"89,2020,1,National,Medicare Only,All,All,All,0-64,All,1150367.0,1730500.3333,114745.0,0.0997"
"90,2020,1,National,All,American Indian/Alaska Native,All,All,0-64,All,37085.0,49613.333333,3493.0,0.0942"
"91,2020,1,National,All,Asian/Pacific Islander,All,All,0-64,All,58292.0,84336.333333,6026.0,0.1034"
"92,2020,1,National,All,Black/African American,All,All,0-64,All,595528.0,816357.66667,59330.0,0.0996"
"93,2020,1,National,All,Hispanic,All,All,0-64,All,305631.0,420654.33333,35303.0,0.1155"
"94,2020,1,National,All,Non-Hispanic White,All,All,0-64,All,2102171.0,2835457.0,253478.0,0.1206"
"95,2020,1,National,All,All,All,All,65-74,All,10407055.0,14833124.0,675701.0,0.0649"
"96,2020,1,National,Medicare & Medicaid,All,All,All,65-74,All,1402227.0,1855027.3333,126072.0,0.0899"
"97,2020,1,National,Medicare Only,All,All,All,65-74,All,9004828.0,12978096.667,549629.0,0.061"
"98,2020,1,National,All,American Indian/Alaska Native,All,All,65-74,All,53643.0,72601.0,2889.0,0.0539"
"99,2020,1,National,All,Asian/Pacific Islander,All,All,65-74,All,285291.0,456783.66667,18910.0,0.0663"
"100,2020,1,National,All,Black/African American,All,All,65-74,All,815120.0,1173721.3333,55841.0,0.0685"
"101,2020,1,National,All,Hispanic,All,All,65-74,All,534220.0,864272.0,38493.0,0.0721"
"102,2020,1,National,All,Non-Hispanic White,All,All,65-74,All,8272108.0,11623120.333,529806.0,0.064"
"103,2020,1,National,All,All,All,All,75-84,All,7070984.0,8952908.3333,435615.0,0.0616"
"104,2020,1,National,Medicare & Medicaid,All,All,All,75-84,All,915288.0,1118689.6667,73125.0,0.0799"
"105,2020,1,National,Medicare Only,All,All,All,75-84,All,6155696.0,7834218.6667,362490.0,0.0589"
"106,2020,1,National,All,American Indian/Alaska Native,All,All,75-84,All,33917.0,42671.666667,1759.0,0.0519"
"107,2020,1,National,All,Asian/Pacific Islander,All,All,75-84,All,206567.0,289313.0,14688.0,0.0711"
"108,2020,1,National,All,Black/African American,All,All,75-84,All,449109.0,576038.33333,29130.0,0.0649"
"109,2020,1,National,All,Hispanic,All,All,75-84,All,331082.0,471370.0,23379.0,0.0706"
"110,2020,1,National,All,Non-Hispanic White,All,All,75-84,All,5949661.0,7435971.6667,359609.0,0.0604"
"111,2020,1,National,All,All,All,All,85 and over,All,3351311.0,4094351.6667,187930.0,0.0561"
"112,2020,1,National,Medicare & Medicaid,All,All,All,85 and over,All,646899.0,747685.33333,43019.0,0.0665"
"113,2020,1,National,Medicare Only,All,All,All,85 and over,All,2704412.0,3346666.3333,144911.0,0.0536"
"114,2020,1,National,All,American Indian/Alaska Native,All,All,85 and over,All,12569.0,15640.0,539.0,0.0429"
"115,2020,1,National,All,Asian/Pacific Islander,All,All,85 and over,All,107550.0,143620.33333,7457.0,0.0693"
"116,2020,1,National,All,Black/African American,All,All,85 and over,All,198662.0,250234.0,11904.0,0.0599"
"117,2020,1,National,All,Hispanic,All,All,85 and over,All,160042.0,216186.66667,10827.0,0.0677"
"118,2020,1,National,All,Non-Hispanic White,All,All,85 and over,All,2844636.0,3430830.6667,155079.0,0.0545"
"119,2020,1,National,All,All,All,All,All,Rural,5421463.0,7498149.3333,303630.0,0.056"
"120,2020,1,National,Medicare & Medicaid,All,All,All,All,Rural,1213874.0,1538925.6667,109764.0,0.0904"
"121,2020,1,National,Medicare Only,All,All,All,All,Rural,4207589.0,5959223.6667,193866.0,0.0461"
"122,2020,1,National,All,American Indian/Alaska Native,All,All,All,Rural,77520.0,101982.33333,4681.0,0.0604"
"123,2020,1,National,All,Asian/Pacific Islander,All,All,All,Rural,29528.0,46182.0,1405.0,0.0476"
"124,2020,1,National,All,Black/African American,All,All,All,Rural,293444.0,392059.0,17100.0,0.0583"
"125,2020,1,National,All,Hispanic,All,All,All,Rural,166571.0,248375.0,10759.0,0.0646"
"126,2020,1,National,All,Non-Hispanic White,All,All,All,Rural,4755865.0,6561967.3333,264277.0,0.0556"
"127,2020,1,National,All,All,All,All,All,Urban,18523059.0,24563561.0,1359271.0,0.0734"
"128,2020,1,National,Medicare & Medicaid,All,All,All,All,Urban,3752894.0,4738655.3333,382827.0,0.102"
"129,2020,1,National,Medicare Only,All,All,All,All,Urban,14770165.0,19824905.667,976444.0,0.0661"
"130,2020,1,National,All,American Indian/Alaska Native,All,All,All,Urban,59224.0,77798.666667,3961.0,0.0669"
"131,2020,1,National,All,Asian/Pacific Islander,All,All,All,Urban,623356.0,913130.33333,45580.0,0.0731"
"132,2020,1,National,All,Black/African American,All,All,All,Urban,1752337.0,2401490.6667,138500.0,0.079"
"133,2020,1,National,All,Hispanic,All,All,All,Urban,1159021.0,1705568.3333,97064.0,0.0837"
"134,2020,1,National,All,Non-Hispanic White,All,All,All,Urban,14390078.0,18705880.333,1032502.0,0.0718"
"135,2020,2,National,All,All,All,All,All,All,21985383.0,32152841.0,10262248.0,0.4668"
"136,2020,2,National,Medicare Only,All,All,All,All,All,17446284.0,25991341.667,7730809.0,0.4431"
"137,2020,2,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,67955.0,103350.66667,32349.0,0.476"
"138,2020,2,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,281801.0,542254.66667,134039.0,0.4757"
"139,2020,2,National,Medicare Only,Hispanic,All,All,All,All,586709.0,1081999.0,274871.0,0.4685"
"140,2020,2,National,All,Non-Hispanic White,All,All,All,All,17657940.0,25314454.333,8032192.0,0.4549"
"141,2020,2,National,Medicare Only,Non-Hispanic White,All,All,All,All,14984517.0,21812131.0,6558475.0,0.4377"
"142,2020,2,National,Medicare Only,All,Female,All,All,All,9689957.0,14023474.333,4420202.0,0.4562"
"143,2020,2,National,All,Non-Hispanic White,Female,All,All,All,9980959.0,13916023.667,4669234.0,0.4678"
"144,2020,2,National,All,All,Male,All,All,All,9554074.0,14571287.0,4271347.0,0.4471"
"145,2020,2,National,Medicare Only,All,Male,All,All,All,7756327.0,11967867.333,3310607.0,0.4268"
"146,2020,2,National,All,American Indian/Alaska Native,Male,All,All,All,49619.0,78104.0,22993.0,0.4634"
"147,2020,2,National,All,Black/African American,Male,All,All,All,761393.0,1246096.3333,359128.0,0.4717"
"148,2020,2,National,All,Non-Hispanic White,Male,All,All,All,7676981.0,11398430.667,3362958.0,0.4381"
"149,2020,2,National,All,All,All,Aged,All,All,18863090.0,27674066.667,8457769.0,0.4484"
"150,2020,2,National,Medicare Only,All,All,Aged,All,All,16259589.0,24127966.333,7087785.0,0.4359"
"151,2020,2,National,All,American Indian/Alaska Native,All,Aged,All,All,84760.0,126663.33333,40235.0,0.4747"
"152,2020,2,National,All,Non-Hispanic White,All,Aged,All,All,15609959.0,22396723.0,6838065.0,0.4381"
"153,2020,2,National,All,All,All,All,65-74,All,9629929.0,15110849.667,4332320.0,0.4499"
"154,2020,2,National,Medicare Only,All,All,All,65-74,All,8342380.0,13266756.333,3631464.0,0.4353"
"155,2020,2,National,All,Non-Hispanic White,All,All,65-74,All,7701902.0,11855980.333,3386703.0,0.4397"
"156,2020,2,National,All,All,All,All,75-84,All,6458968.0,8828582.6667,2905668.0,0.4499"
"157,2020,2,National,Medicare Only,All,All,All,75-84,All,5640949.0,7752003.6667,2474998.0,0.4388"
"158,2020,2,National,All,American Indian/Alaska Native,All,All,75-84,All,29564.0,41870.333333,13984.0,0.473"
"159,2020,2,National,All,Non-Hispanic White,All,All,75-84,All,5471976.0,7340599.6667,2404241.0,0.4394"
"160,2020,2,National,All,All,All,All,85 and over,All,2967214.0,3930810.6667,1323861.0,0.4462"
"161,2020,2,National,Medicare Only,All,All,All,85 and over,All,2396471.0,3233427.3333,1046783.0,0.4368"
"162,2020,2,National,All,American Indian/Alaska Native,All,All,85 and over,All,10664.0,15002.666667,4814.0,0.4514"
"163,2020,2,National,All,Non-Hispanic White,All,All,85 and over,All,2529293.0,3294699.3333,1099894.0,0.4349"
"164,2020,2,National,All,All,All,All,All,Rural,5046645.0,7483750.3333,1922059.0,0.3809"
"165,2020,2,National,Medicare & Medicaid,All,All,All,All,Rural,1120561.0,1503929.0,536153.0,0.4785"
"166,2020,2,National,Medicare Only,All,All,All,All,Rural,3926084.0,5979821.3333,1385906.0,0.353"
"167,2020,2,National,All,American Indian/Alaska Native,All,All,All,Rural,68344.0,100945.66667,32714.0,0.4787"
"168,2020,2,National,All,Asian/Pacific Islander,All,All,All,Rural,26375.0,46530.0,9760.0,0.37"
"169,2020,2,National,All,Black/African American,All,All,All,Rural,270489.0,386029.33333,107830.0,0.3986"
"170,2020,2,National,All,Hispanic,All,All,All,Rural,152830.0,248655.33333,64042.0,0.419"
"171,2020,2,National,All,Non-Hispanic White,All,All,All,Rural,4436842.0,6551721.0,1672582.0,0.377"
"172,2020,2,National,Medicare Only,All,All,All,All,Urban,13487480.0,19907148.333,6334860.0,0.4697"
"173,2020,3,National,All,All,All,All,All,All,24025610.0,32300268.667,6762255.0,0.2815"
"174,2020,3,National,Medicare & Medicaid,All,All,All,All,All,4698026.0,6050276.6667,1913995.0,0.4074"
"175,2020,3,National,Medicare Only,All,All,All,All,All,19327584.0,26249992.0,4848260.0,0.2508"
"176,2020,3,National,All,American Indian/Alaska Native,All,All,All,All,130042.0,177178.66667,46668.0,0.3589"
"177,2020,3,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,55726.0,73864.666667,22484.0,0.4035"
"178,2020,3,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,74316.0,103314.0,24184.0,0.3254"
"179,2020,3,National,All,Asian/Pacific Islander,All,All,All,All,646250.0,987588.33333,239065.0,0.3699"
"180,2020,3,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,309597.0,431322.33333,134160.0,0.4333"
"181,2020,3,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,336653.0,556266.0,104905.0,0.3116"
"182,2020,3,National,All,Black/African American,All,All,All,All,1989924.0,2786210.3333,646831.0,0.3251"
"183,2020,3,National,Medicare & Medicaid,Black/African American,All,All,All,All,829638.0,1067654.3333,318351.0,0.3837"
"184,2020,3,National,Medicare Only,Black/African American,All,All,All,All,1160286.0,1718556.0,328480.0,0.2831"
"185,2020,3,National,All,Hispanic,All,All,All,All,1294321.0,1985196.3333,508336.0,0.3927"
"186,2020,3,National,Medicare & Medicaid,Hispanic,All,All,All,All,637252.0,876670.66667,297874.0,0.4674"
"187,2020,3,National,Medicare Only,Hispanic,All,All,All,All,657069.0,1108525.6667,210462.0,0.3203"
"188,2020,3,National,All,Non-Hispanic White,All,All,All,All,19303306.0,25416535.333,5127379.0,0.2656"
"189,2020,3,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2742906.0,3428611.3333,1088527.0,0.3969"
"190,2020,3,National,Medicare Only,Non-Hispanic White,All,All,All,All,16560400.0,21987924.0,4038852.0,0.2439"
"191,2020,3,National,All,All,Female,All,All,All,13634408.0,17637293.667,4039593.0,0.2963"
"192,2020,3,National,Medicare & Medicaid,All,Female,All,All,All,2829193.0,3482043.0,1187379.0,0.4197"
"193,2020,3,National,Medicare Only,All,Female,All,All,All,10805215.0,14155250.667,2852214.0,0.264"
"194,2020,3,National,All,American Indian/Alaska Native,Female,All,All,All,76866.0,99651.666667,28941.0,0.3765"
"195,2020,3,National,All,Asian/Pacific Islander,Female,All,All,All,385490.0,577713.33333,144435.0,0.3747"
"196,2020,3,National,All,Black/African American,Female,All,All,All,1181488.0,1538149.6667,407402.0,0.3448"
"197,2020,3,National,All,Hispanic,Female,All,All,All,751193.0,1067880.6667,311359.0,0.4145"
"198,2020,3,National,All,Non-Hispanic White,Female,All,All,All,10955219.0,13955557.667,3056789.0,0.279"
"199,2020,3,National,All,All,Male,All,All,All,10391202.0,14662975.0,2722662.0,0.262"
"200,2020,3,National,Medicare & Medicaid,All,Male,All,All,All,1868833.0,2568233.6667,726616.0,0.3888"
"201,2020,3,National,Medicare Only,All,Male,All,All,All,8522369.0,12094741.333,1996046.0,0.2342"
"202,2020,3,National,All,American Indian/Alaska Native,Male,All,All,All,53176.0,77527.0,17727.0,0.3334"
"203,2020,3,National,All,Asian/Pacific Islander,Male,All,All,All,260760.0,409875.0,94630.0,0.3629"
"204,2020,3,National,All,Black/African American,Male,All,All,All,808436.0,1248060.6667,239429.0,0.2962"
"205,2020,3,National,All,Hispanic,Male,All,All,All,543128.0,917315.66667,196977.0,0.3627"
"206,2020,3,National,All,Non-Hispanic White,Male,All,All,All,8348087.0,11460977.667,2070590.0,0.248"
"207,2020,3,National,All,All,All,Aged,All,All,20756844.0,27823752.0,5392831.0,0.2598"
"208,2020,3,National,Medicare & Medicaid,All,All,Aged,All,All,2686965.0,3458719.3333,1006074.0,0.3744"
"209,2020,3,National,Medicare Only,All,All,Aged,All,All,18069879.0,24365032.667,4386757.0,0.2428"
"210,2020,3,National,All,American Indian/Alaska Native,All,Aged,All,All,92125.0,125793.33333,30840.0,0.3348"
"211,2020,3,National,All,Asian/Pacific Islander,All,Aged,All,All,579525.0,891572.33333,209296.0,0.3612"
"212,2020,3,National,All,Black/African American,All,Aged,All,All,1366583.0,1929206.3333,402178.0,0.2943"
"213,2020,3,National,All,Hispanic,All,Aged,All,All,971379.0,1535355.6667,354280.0,0.3647"
"214,2020,3,National,All,Non-Hispanic White,All,Aged,All,All,17156356.0,22500169.333,4233559.0,0.2468"
"215,2020,3,National,All,All,All,Disabled,All,All,2897702.0,4090668.3333,1231120.0,0.4249"
"216,2020,3,National,Medicare & Medicaid,All,All,Disabled,All,All,1828547.0,2408843.0,836946.0,0.4577"
"217,2020,3,National,Medicare Only,All,All,Disabled,All,All,1069155.0,1681825.3333,394174.0,0.3687"
"218,2020,3,National,All,American Indian/Alaska Native,All,Disabled,All,All,31981.0,45404.666667,13162.0,0.4116"
"219,2020,3,National,All,Asian/Pacific Islander,All,Disabled,All,All,48144.0,76383.0,22418.0,0.4656"
"220,2020,3,National,All,Black/African American,All,Disabled,All,All,496982.0,726033.66667,202289.0,0.407"
"221,2020,3,National,All,Non-Hispanic White,All,Disabled,All,All,1999851.0,2763588.3333,838877.0,0.4195"
"222,2020,3,National,All,All,All,ESRD,All,All,371064.0,385848.33333,138304.0,0.3727"
"223,2020,3,National,Medicare & Medicaid,All,All,ESRD,All,All,182514.0,182714.33333,70975.0,0.3889"
"224,2020,3,National,Medicare Only,All,All,ESRD,All,All,188550.0,203134.0,67329.0,0.3571"
"225,2020,3,National,All,American Indian/Alaska Native,All,ESRD,All,All,5936.0,5980.6666667,2666.0,0.4491"
"226,2020,3,National,All,Asian/Pacific Islander,All,ESRD,All,All,18581.0,19633.0,7351.0,0.3956"
"227,2020,3,National,All,Black/African American,All,ESRD,All,All,126359.0,130970.33333,42364.0,0.3353"
"228,2020,3,National,All,Hispanic,All,ESRD,All,All,62843.0,65389.333333,27024.0,0.43"
"229,2020,3,National,All,Non-Hispanic White,All,ESRD,All,All,147099.0,152777.66667,54943.0,0.3735"
"230,2020,3,National,All,All,All,All,0-64,All,3084913.0,4290604.0,1301253.0,0.4218"
"231,2020,3,National,Medicare & Medicaid,All,All,All,0-64,All,1942628.0,2524152.0,881190.0,0.4536"
"232,2020,3,National,Medicare Only,All,All,All,0-64,All,1142285.0,1766452.0,420063.0,0.3677"
"233,2020,3,National,All,American Indian/Alaska Native,All,All,0-64,All,35416.0,48891.333333,14691.0,0.4148"
"234,2020,3,National,All,Asian/Pacific Islander,All,All,0-64,All,56699.0,85829.0,25699.0,0.4533"
"235,2020,3,National,All,Black/African American,All,All,0-64,All,571127.0,804000.66667,227441.0,0.3982"
"236,2020,3,National,All,Non-Hispanic White,All,All,0-64,All,2058552.0,2827247.0,861075.0,0.4183"
"237,2020,3,National,All,All,All,All,65-74,All,10899759.0,15523979.333,2835523.0,0.2601"
"238,2020,3,National,Medicare & Medicaid,All,All,All,65-74,All,1364348.0,1841238.0,522743.0,0.3831"
"239,2020,3,National,Medicare Only,All,All,All,65-74,All,9535411.0,13682741.333,2312780.0,0.2425"
"240,2020,3,National,All,American Indian/Alaska Native,All,All,65-74,All,51750.0,72835.333333,17819.0,0.3443"
"241,2020,3,National,All,Asian/Pacific Islander,All,All,65-74,All,294432.0,484812.33333,100578.0,0.3416"
"242,2020,3,National,All,Black/African American,All,All,65-74,All,818844.0,1206799.3333,241853.0,0.2954"
"243,2020,3,National,All,Hispanic,All,All,65-74,All,542224.0,908323.0,193230.0,0.3564"
"244,2020,3,National,All,Non-Hispanic White,All,All,65-74,All,8721587.0,12175706.667,2156695.0,0.2473"
"245,2020,3,National,All,All,All,All,75-84,All,6955426.0,8709864.0,1800365.0,0.2588"
"246,2020,3,National,Medicare & Medicaid,All,All,All,75-84,All,837428.0,1036233.6667,311227.0,0.3716"
"247,2020,3,National,Medicare Only,All,All,All,75-84,All,6117998.0,7673630.3333,1489138.0,0.2434"
"248,2020,3,National,All,American Indian/Alaska Native,All,All,75-84,All,31681.0,41052.666667,10487.0,0.331"
"249,2020,3,National,All,Asian/Pacific Islander,All,All,75-84,All,198507.0,282927.0,73486.0,0.3702"
"250,2020,3,National,All,Black/African American,All,All,75-84,All,423560.0,548879.66667,124591.0,0.2942"
"251,2020,3,National,All,Hispanic,All,All,75-84,All,312272.0,454210.0,115557.0,0.3701"
"252,2020,3,National,All,Non-Hispanic White,All,All,75-84,All,5890109.0,7247325.6667,1445962.0,0.2455"
"253,2020,3,National,All,All,All,All,85 and over,All,3085512.0,3775821.3333,825114.0,0.2674"
"254,2020,3,National,Medicare & Medicaid,All,All,All,85 and over,All,553622.0,648653.0,198835.0,0.3592"
